activecampaign	fetched	24742
bigmailer	fetched	12054
bluetally	fetched	13355
box	fetched	220121
box-data-extract	fetched	220120
brex	failed	0
eventzilla	fetched	631276
fastly	fetched	2340172
finnworlds	fetched	1338766
flowlu	fetched	1267557
genesys	failed	0
glassfrog	fetched	40875
gologin	fetched	191251
guru	fetched	414384
intercom	fetched	1362253
invoiceninja	fetched	11973228
jobnimbus	fetched	52189
judge-me-reviews	fetched	67965
k6-cloud	fetched	157983
lob	fetched	5026062
mailchimp	fetched	73813
mailtrap	fetched	765433
mendeley	fetched	949
mixmax	fetched	166619
pagerduty	fetched	2766679
paypal-transaction	fetched	247570
printify	fetched	164987
productboard	fetched	2665
reply-io	fetched	1817362
ringcentral	fetched	1717172
rocketlane	fetched	17746
rollbar	fetched	80477
sendgrid	fetched	338378
sendpulse	fetched	2292
tempo	fetched	558839
timely	fetched	303366
todoist	fetched	3906501
toggl	fetched	22083
unleash	fetched	83427
uppromote	fetched	5476
