airtable	fm/cli-airtable-parity-wave03-r1-pre-alfred-recovery-69f87c4976a0
ashby	fm/cli-ashby-parity-wave05-r1-pre-alfred-recovery-5648a3c
aws-cloudtrail	fm/cli-aws-cloudtrail-parity-wave04-r1
bamboo-hr	no-mistakes/fm/cli-bamboohr-parity-wave05-r1
dynamodb	no-mistakes/fm/cli-dynamodb-parity-wave04-r1
front	no-mistakes/fm/cli-front-parity-wave02-r1
gitlab	fm/cli-gitlab-parity-wave02-r1
gong	no-mistakes/fm/cli-gong-parity-wave01-r1
google-analytics-data-api	fm/cli-google-analytics-data-api-parity-wave03-r1-local-resume-backup
google-search-console	no-mistakes/fm/cli-google-search-console-parity-wave03-r1
gorgias	no-mistakes/fm/cli-gorgias-parity-wave02-r1
intercom	no-mistakes/fm/cli-intercom-parity-wave01-r1
marketo	no-mistakes/fm/cli-marketo-parity-wave05-r1
mixpanel	no-mistakes/fm/cli-mixpanel-parity-wave04-r1
monday	no-mistakes/fm/cli-monday-parity-wave02-r1
segment	no-mistakes/fm/cli-segment-parity-wave04-r1
square	no-mistakes/fm/cli-square-parity-wave05-r1
youtube-analytics	no-mistakes/fm/cli-youtube-analytics-parity-wave03-r1
zoom	no-mistakes/fm/cli-zoom-parity-wave04-r1
