gofmt -w cmd internal
go mod tidy
git diff --exit-code -- go.mod go.sum
go vet ./...
go test -timeout 20m ./...
ok  	polymetrics.ai/cmd/agentcontractgen	10.571s
?   	polymetrics.ai/cmd/certifytiming	[no test files]
ok  	polymetrics.ai/cmd/connectorgen	155.023s
ok  	polymetrics.ai/cmd/iconregistrygen	1.634s
ok  	polymetrics.ai/cmd/pm	1.164s
ok  	polymetrics.ai/cmd/prissueguard	1.332s
ok  	polymetrics.ai/internal/agentcontract	7.152s
ok  	polymetrics.ai/internal/agentmode	2.076s
ok  	polymetrics.ai/internal/app	283.231s
ok  	polymetrics.ai/internal/certificationcatalog	2.547s
ok  	polymetrics.ai/internal/certifytiming	2.658s
ok  	polymetrics.ai/internal/cli	584.826s
ok  	polymetrics.ai/internal/config	3.922s
ok  	polymetrics.ai/internal/connectors	4.307s
ok  	polymetrics.ai/internal/connectors/boundary	287.058s
ok  	polymetrics.ai/internal/connectors/bundleregistry	8.997s
ok  	polymetrics.ai/internal/connectors/certifications	(cached)
ok  	polymetrics.ai/internal/connectors/certify	19.601s
ok  	polymetrics.ai/internal/connectors/commandrunner	24.554s
ok  	polymetrics.ai/internal/connectors/conformance	46.227s
ok  	polymetrics.ai/internal/connectors/connsdk	5.911s
ok  	polymetrics.ai/internal/connectors/database	17.001s
ok  	polymetrics.ai/internal/connectors/defs	7.077s
ok  	polymetrics.ai/internal/connectors/defs/asana	4.946s
ok  	polymetrics.ai/internal/connectors/defs/ashby	1.906s
ok  	polymetrics.ai/internal/connectors/defs/crisp	2.549s
?   	polymetrics.ai/internal/connectors/defs/google-calendar	[no test files]
ok  	polymetrics.ai/internal/connectors/defs/recurly	1.986s
ok  	polymetrics.ai/internal/connectors/defs/zendesk-support	7.868s
ok  	polymetrics.ai/internal/connectors/defs/zoom	2.358s
ok  	polymetrics.ai/internal/connectors/discovery	1.383s
ok  	polymetrics.ai/internal/connectors/engine	10.933s
ok  	polymetrics.ai/internal/connectors/hooks/akeneo	1.694s
ok  	polymetrics.ai/internal/connectors/hooks/alpha-vantage	1.797s
ok  	polymetrics.ai/internal/connectors/hooks/amazon-ads	0.586s
ok  	polymetrics.ai/internal/connectors/hooks/amazon-seller-partner	0.571s
ok  	polymetrics.ai/internal/connectors/hooks/apify-dataset	0.629s
ok  	polymetrics.ai/internal/connectors/hooks/apple-search-ads	0.894s
ok  	polymetrics.ai/internal/connectors/hooks/appsflyer	1.062s
ok  	polymetrics.ai/internal/connectors/hooks/ashby	0.913s
ok  	polymetrics.ai/internal/connectors/hooks/aws-cloudtrail	1.354s
ok  	polymetrics.ai/internal/connectors/hooks/babelforce	1.141s
ok  	polymetrics.ai/internal/connectors/hooks/basecamp	0.904s
ok  	polymetrics.ai/internal/connectors/hooks/blogger	1.242s
ok  	polymetrics.ai/internal/connectors/hooks/bunny-inc	0.587s
ok  	polymetrics.ai/internal/connectors/hooks/canny	0.856s
ok  	polymetrics.ai/internal/connectors/hooks/chift	1.110s
ok  	polymetrics.ai/internal/connectors/hooks/copper	1.481s
ok  	polymetrics.ai/internal/connectors/hooks/dixa	1.134s
ok  	polymetrics.ai/internal/connectors/hooks/ebay-fulfillment	1.423s
ok  	polymetrics.ai/internal/connectors/hooks/elasticsearch	1.416s
ok  	polymetrics.ai/internal/connectors/hooks/fastbill	1.731s
ok  	polymetrics.ai/internal/connectors/hooks/feishu	1.415s
ok  	polymetrics.ai/internal/connectors/hooks/free-agent-connector	1.775s
ok  	polymetrics.ai/internal/connectors/hooks/freightview	1.816s
ok  	polymetrics.ai/internal/connectors/hooks/github	6.201s
ok  	polymetrics.ai/internal/connectors/hooks/gmail	1.946s
ok  	polymetrics.ai/internal/connectors/hooks/google-ads	2.096s
ok  	polymetrics.ai/internal/connectors/hooks/google-analytics-data-api	1.932s
ok  	polymetrics.ai/internal/connectors/hooks/google-calendar	1.646s
